Source IP,Destination IP,Date,Total Flow Duration,Total Forward Packets,Average Flow Duration,StdDev Flow Duration,Average Forward Packets,StdDev Forward Packets
192.168.20.48,52.222.174.115,2022-07-10,342967.00,13,342967.00,0.00,13.00,0.00
192.168.20.43,52.217.82.212,2022-02-11,8873888.00,303,8873888.00,0.00,303.00,0.00
192.168.20.43,52.94.237.71,2022-03-11,584190.00,11,58630245.50,58046055.50,11.00,0.00
192.168.20.43,13.225.34.61,2022-02-11,588197.00,21,588197.00,0.00,21.00,0.00
192.168.20.43,52.94.217.134,2022-03-11,523834695.00,307,523834695.00,0.00,307.00,0.00
192.168.20.45,74.125.71.108,2022-03-11,10026843.00,4,10026843.00,0.00,4.00,0.00
192.168.20.48,34.202.131.95,2022-02-11,458167.00,10,458167.00,0.00,10.00,0.00
3.92.103.73,192.168.20.48,2022-03-11,3982.00,3,3982.00,0.00,3.00,0.00
192.168.20.43,209.54.180.2,2022-02-11,348669.00,12,348669.00,0.00,12.00,0.00
209.54.180.46,192.168.20.43,2022-03-11,3901.00,3,3901.00,0.00,3.00,0.00
15.161.86.203,192.168.20.48,2022-03-11,21142.00,3,21142.00,0.00,3.00,0.00
192.168.20.48,54.195.209.68,2022-03-11,783198.00,36,505045.00,278153.00,27.00,9.00
192.168.20.45,200.89.75.197,2022-02-11,194810.00,1,194810.00,0.00,1.00,0.00
192.168.20.18,52.31.222.8,2022-03-11,10040495.00,836,5227892.50,4812602.50,436.00,400.00
54.92.128.108,192.168.20.48,2022-03-11,284298.00,3,284298.00,0.00,3.00,0.00
192.168.20.45,38.15.51.122,2022-02-11,124279.00,1,124279.00,0.00,1.00,0.00
192.168.20.48,52.45.237.36,2022-03-11,311061.00,4,311061.00,0.00,4.00,0.00
192.168.20.48,18.229.75.205,2022-03-11,8432878.00,94,8432878.00,0.00,94.00,0.00
192.168.20.48,3.37.12.80,2022-06-10,1048058.00,18,1572848.50,524790.50,26.00,8.00
216.58.204.99,192.168.20.42,2022-07-10,4084.00,2,4084.00,0.00,2.00,0.00
34.202.146.90,192.168.20.48,2022-03-11,158836.00,2,158836.00,0.00,2.00,0.00
192.168.20.48,18.214.180.6,2022-03-11,49138501.00,1384,37468119.50,11670381.50,1078.50,305.50
52.201.117.32,192.168.20.48,2022-02-11,211337.00,2,211337.00,0.00,2.00,0.00
192.168.20.48,209.54.180.44,2022-03-11,959564.00,17,959564.00,0.00,17.00,0.00
192.168.20.48,108.137.188.162,2022-03-11,3101381.00,40,3101381.00,0.00,40.00,0.00
35.155.9.57,192.168.20.43,2022-07-10,78.00,2,78.00,0.00,2.00,0.00
192.168.20.43,54.221.200.137,2022-02-11,13464786.00,18,13464786.00,0.00,18.00,0.00
192.168.20.45,195.154.200.68,2022-03-11,1957.00,1,1957.00,0.00,1.00,0.00
209.54.180.2,192.168.20.43,2022-02-11,5622.00,2,5622.00,0.00,2.00,0.00
